Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R5,10k,R_0805_2012Metric,188.5188,-78.7146,90.0,top
R6,10k,R_0805_2012Metric,140.9954,-72.6948,180.0,top
R10,10k,R_0805_2012Metric,138.049,-76.5537,-90.0,top
R17,10k,R_0805_2012Metric,185.7248,-74.1172,180.0,top
D3,1N5819,D_SOD-123,126.111,-76.3016,0.0,top
D7,1N5819,D_SOD-123,182.3974,-77.8764,90.0,top
R7,1k,R_0805_2012Metric,136.0424,-76.5283,-90.0,top
R12,1k,R_0805_2012Metric,134.0593,-79.248,0.0,top
R14,1k,R_0805_2012Metric,196.1134,-78.3336,-90.0,top
R19,1k,R_0805_2012Metric,171.958,-79.1464,-90.0,top
C2,1uF,C_0805_2012Metric,120.904,-83.6422,0.0,top
C3,1uF,C_0805_2012Metric,114.681,-82.3722,90.0,top
C5,1uF,C_0805_2012Metric,175.8442,-78.3336,180.0,top
C6,1uF,C_0805_2012Metric,196.3166,-83.8708,90.0,top
R13,2M,R_0805_2012Metric,128.397,-81.2546,0.0,top
R20,2M,R_0805_2012Metric,178.5874,-80.5688,0.0,top
C1,4.7uF,C_0805_2012Metric,119.7356,-80.6552,-90.0,top
C4,4.7uF,C_0805_2012Metric,188.3664,-81.534,0.0,top
R8,5.1k,R_0805_2012Metric,136.7517,-73.8124,180.0,top
R9,5.1k,R_0805_2012Metric,125.222,-74.0156,0.0,top
R15,5.1k,R_0805_2012Metric,179.8809,-74.0664,180.0,top
R16,5.1k,R_0805_2012Metric,171.9307,-73.914,0.0,top
F1,500ma,Fuse_1206_3216Metric,129.413,-73.9394,0.0,top
F2,500ma,Fuse_1206_3216Metric,171.9834,-76.0984,0.0,top
R11,806k,R_0805_2012Metric,121.4882,-74.1426,180.0,top
R18,806k,R_0805_2012Metric,184.785,-82.042,0.0,top
Q1,AO3401A,SOT-23,121.7676,-77.1398,0.0,top
Q2,AO3401A,SOT-23,185.547,-77.2668,180.0,top
U3,AP2112K-3.3,SOT-23-5,122.9106,-80.7974,180.0,top
U5,AP2112K-3.3,SOT-23-5,179.451,-77.4954,90.0,top
J15,Conn_01x04_Female,PinHeader_1x04_P1.00mm_Vertical,133.1722,-95.3008,-90.0,bottom
J16,Conn_01x04_Female,PinHeader_1x04_P1.00mm_Vertical,177.7746,-85.598,90.0,bottom
D4,LED_Small,D_0805_2012Metric,130.5075,-79.248,180.0,top
D8,LED_Small,D_0805_2012Metric,169.9006,-79.629,-90.0,top
H1,M4,MountingHole_4mm_Pad_thin,163.603921,-71.33266,0.0,top
H2,M4,MountingHole_4mm_Pad_thin,147.33762,-71.28266,0.0,top
H3,M4,MountingHole_4mm_Pad_thin,198.103921,-99.08266,0.0,top
H4,M4,MountingHole_4mm_Pad_thin,112.76262,-99.18266,0.0,top
D1,POWERLED,D_0805_2012Metric,137.5156,-79.2226,180.0,top
D5,POWERLED,D_0805_2012Metric,190.627,-78.74,-90.0,top
D2,SR05,SOT-143,133.4008,-75.0062,180.0,top
D6,SR05,SOT-143,175.9712,-74.791,180.0,top
U1,TP4054,SOT-23-5,140.8176,-76.0476,270.0,top
U2,TP4054,SOT-23-5,189.6364,-75.2094,0.0,top
J1,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,133.8326,-67.4612,0.0,top
J2,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,176.3522,-67.4612,0.0,top
